station_id,station_name
02798,Laarbruch
02810,"Lage, Kreis Lippe-Hörste"
02812,Lahr
02814,Merklingen
02822,Lamstedt
02825,Landau/Pfalz-Taubensuhl (WWV RLP)
02829,Landsberg (Flugplatz)
02839,Langelsheim-Astfeld
02844,"Langen-Holßel, Kreis Cuxhaven"
02850,Langenenslingen-Ittenhausen
02856,Langenlipsdorf
02860,Langenzenn
02878,"Lauchstädt, Bad"
02880,Lauda-Königshofen-Heckfeld
02884,Lauf/Pegnitz (Kläranlage)
02885,Laufen/Obb.-Lebenau (Haftanstalt)
02886,Laupheim
02890,"Lauterberg,Bad-Bartolfelde"
02900,Lautertal/Odenwald-Reichenbach
02905,Lechfeld
02907,Leck
02925,Leinefelde
02926,Leipheim (Flugplatz)
02928,Leipzig-Holzhausen
02932,Leipzig/Halle
02947,Lennestadt-Theten
02951,Lenzen/Elbe
02953,Lenzkirch-Ruhbühl
02958,Ostritz
02961,Leuchtturm Kiel
02968,Köln-Stammheim
02985,Lichtenhain-Mittelndorf
02988,Liebenau-Haueda
02992,Remptendorf
02996,"Liebenzell, Bad (LUBW)"
02997,Lieberose
02999,Lienen-Kattenvenne
03012,Lindberg-Buchenau
03015,Lindenberg
03023,Lingen
03024,Lingerhahn (WWV RLP)
03028,"Lippspringe, Bad"
03031,Lippstadt-Bökenförde
03032,List auf Sylt
03034,"Lobenstein, Bad"
03042,Löhnberg-Obershausen
03044,Löningen
03080,Ludwigsstadt-Lauenstein
03081,Espelkamp-Isenstedt
03083,Lübben-Blumenfelde
03085,Lübeck
03086,Lübeck-Blankensee
03093,Lüchow
03094,Schönteichen-Cunnersdorf
03097,Lüdenscheid (Flugplatz)
03098,Lüdenscheid
03121,Mähring
03126,Magdeburg
03136,Mühlheim/Main
03137,Mainz-Lerchenberg (ZDF)
03146,Malk Göhren
03147,Mallersdorf-Pfaffenberg/Niederbayern
03148,Malliß
03153,Mamming-Schneiderberg
03155,Manderscheid-Sonnenhof
03158,Manschnow
03164,"Cölbe, Kr. Marburg-Biedenkopf"
03166,Marienberg
03167,"Marienberg, Bad"
03170,Marienleuchte
03175,Raschau
03179,Markt Bibart
03190,Marktoberdorf-Sulzschneid
03192,Marktschellenberg
03196,Marnitz
03204,Martinroda
03205,Marwitz (Wasserwerk)
03207,Maßbach
03215,Medebach-Berge
03217,Weesby
03220,Meeder-Ottowind
03226,Aschersleben-Mehringen
03231,Meiningen
03234,Garsebach bei Meißen
03238,Dewichow
03244,Memmingen
03245,Memmingen (Flugplatz)
03246,Mendig
03247,Mengen-Ennetach
03248,Frankenblick-Mengersgereuth-Hämmern
03254,Meppen
03257,"Mergentheim, Bad-Neunkirchen"
03258,Mering (Bauhof)
03263,Merzig
03268,Meßstetten-Appental
03271,Metten
03272,Mettenheim (WWV RLP)
03278,Metzingen
